  0.4364866E+03   -0.1204208E-02   -0.1204208E-02
  0.4362458E+03   -0.8481100E-03   -0.8481100E-03
  0.4354192E+03   -0.1097036E-02   -0.1097036E-02
  0.4327404E+03   -0.5581061E-03   -0.5581061E-03
  0.4323593E+03   -0.8316054E-03   -0.8316054E-03
  0.4312292E+03   -0.6879866E-03   -0.6879866E-03
  0.4308513E+03   -0.9293199E-03   -0.9293199E-03
  0.4296855E+03   -0.1088390E-02   -0.1088390E-02
  0.4287307E+03   -0.5808807E-03   -0.5808807E-03
  0.4284746E+03   -0.6055569E-03   -0.6055569E-03
  0.4281728E+03   -0.4999649E-03   -0.4999649E-03
  0.4275920E+03   -0.7079798E-03   -0.7079798E-03
  0.4270485E+03   -0.1277689E-02   -0.1277689E-02
  0.4269542E+03   -0.8035872E-03   -0.8035872E-03
  0.4261302E+03   -0.7365174E-03   -0.7365174E-03
  0.4259216E+03   -0.7940706E-03   -0.7940706E-03
  0.4255974E+03   -0.8851094E-03   -0.8851094E-03
  0.4252709E+03   -0.1449174E-02   -0.1449174E-02
  0.4242332E+03   -0.8775702E-03   -0.8775702E-03
  0.4238946E+03   -0.4237319E-03   -0.4237319E-03
  0.4235224E+03   -0.7181535E-03   -0.7181535E-03
  0.4230930E+03   -0.1497088E-02   -0.1497088E-02
  0.4231378E+03   -0.1189475E-02   -0.1189475E-02
  0.4228678E+03   -0.5649920E-03   -0.5649920E-03
  0.4225127E+03   -0.1280184E-02   -0.1280184E-02
  0.4222055E+03   -0.1080398E-02   -0.1080398E-02
  0.4221737E+03   -0.8244252E-03   -0.8244252E-03
  0.4215644E+03   -0.9472740E-03   -0.9472740E-03
  0.4202927E+03   -0.2571571E-03   -0.2571571E-03
  0.4197344E+03   -0.9247891E-03   -0.9247891E-03
  0.4193382E+03   -0.8650727E-03   -0.8650727E-03
  0.4190713E+03   -0.5638893E-03   -0.5638893E-03
  0.4182011E+03   -0.5872665E-03   -0.5872665E-03
  0.4180478E+03   -0.3138970E-03   -0.3138970E-03
  0.4172384E+03   -0.6313928E-03   -0.6313928E-03
  0.4159573E+03   -0.7188756E-03   -0.7188756E-03
  0.4148314E+03   -0.7321113E-03   -0.7321113E-03
  0.4141870E+03   -0.3225323E-03   -0.3225323E-03
  0.4144471E+03   -0.6769591E-03   -0.6769591E-03
  0.4121959E+03   -0.2104396E-03   -0.2104396E-03
  0.4117958E+03   -0.7442854E-03   -0.7442854E-03
