Real Imaginary
1.8500331287148484e+02 5.3611401520517169e-14
1.8550034270446776e+02 1.3696091847077270e-13
1.8569949846165369e+02 -1.0128904427290239e-14
1.8601961021612249e+02 -1.0525721099493606e-13
1.8849511208442181e+02 1.1072776389485094e-13
1.8882109263125983e+02 3.5276626495326233e-13
1.9116035010794394e+02 -4.3862962690516659e-13
1.9401547441332625e+02 -5.4787795902075463e-14
1.9621751087756070e+02 9.0676025284209116e-14
1.9758196275476740e+02 1.8507771178579659e-15
1.9816134473206267e+02 2.5683901856004997e-15
1.9875624353385365e+02 -2.9529708120364325e-13
1.9908068385660584e+02 5.2128539854610788e-14
2.0107796848768010e+02 3.9234750111828231e-13
2.0172959124671871e+02 1.0681885862320722e-13
2.0230489551929915e+02 -4.8856458753284995e-13
2.0252616183543529e+02 1.0745018113875918e-13
2.0435995711665851e+02 9.0501836305027562e-14
2.0506273334785865e+02 -5.0861387640786939e-13
2.0512462896058068e+02 -7.4479511771558977e-13
2.0672582985681032e+02 -7.7170663919770493e-14
2.0700827515461219e+02 5.4149488682213726e-14
2.0769449297027074e+02 7.7962951882278188e-14
2.0947389567418602e+02 -2.0007567336937102e-15
2.1177118118651919e+02 7.0059428876928936e-13
2.1186634089835800e+02 -1.8317287723388827e-13
2.1269383793600869e+02 -1.9271224640605539e-13
2.1287200110985162e+02 8.9143145918113197e-14
2.1389603139382092e+02 -1.1859679758091119e-14
2.1398881052809264e+02 -3.4734446491618141e-13
2.1569172375482930e+02 1.0101532529666436e-13
2.1757749129662545e+02 -2.0906267787758658e-14
2.1855882927913365e+02 2.2980319367889757e-13
2.1862867671547727e+02 -2.1359706976111601e-13
2.1874193590661758e+02 -7.5561885457381165e-14
2.2040442746484393e+02 1.5657656946193466e-14
2.2081464409612954e+02 1.2684467438850728e-13
2.2166933554224971e+02 4.2394258473894305e-14
2.2249674151312530e+02 3.8649690567446585e-14
2.2348749163855203e+02 -3.9480276416256555e-14
2.2497032772185491e+02 3.1330013109924347e-12
2.2513981533732357e+02 -7.6231282167927030e-15
2.2770876705240573e+02 -1.5978315148562529e-13
2.2807638479956088e+02 -2.6446493289767276e-14
2.2857419305130173e+02 -3.8536288348140026e-13
2.2868045164478241e+02 7.8192219879173795e-13
2.3001957654054095e+02 -3.7276038565336404e-14
2.3366213503074621e+02 2.8527642510969890e-13
2.3423156013907962e+02 -2.6853889705006518e-13
2.3471737493008146e+02 2.2977467701735893e-13
2.3562656548742422e+02 3.3491065319299578e-13
2.3790985417683785e+02 -3.7035503284430831e-14
2.3801293090048898e+02 -4.1278596398557718e-14
2.3807016662106980e+02 -1.4531693896191777e-13
2.3971701879794509e+02 3.6981979722304989e-14
2.4004560495045493e+02 -3.1700875101120022e-14
2.4042084612316950e+02 -5.3726898030033113e-14
2.4127315319402226e+02 -7.8757778979685115e-14
2.4256026964153938e+02 -5.2491160868728975e-14
2.4525822945766640e+02 6.2727875483300568e-14
2.4785016133477174e+02 -5.4469472201213576e-13
2.4951768851469126e+02 9.0569575518483753e-15
2.4996970507630908e+02 -1.9257953443505317e-14
2.5149764842883121e+02 1.1691584171083401e-12
2.5175895831495092e+02 -1.0463136407693880e-12
2.5552265725994476e+02 2.6415683032245795e-13
2.5619228495045138e+02 1.9892664348988757e-13
2.5699094256622391e+02 -2.2039815451334071e-15
2.5896323966044929e+02 3.6403458848823634e-14
2.6026618241991235e+02 -3.1987571912432149e-13
2.6074516720856116e+02 3.8445783684104549e-14
2.6078983815798614e+02 -8.0570406790050763e-15
2.6133829521733264e+02 2.1238491984244986e-13
2.6150930900083995e+02 -1.4544811541270922e-13
2.6323155266181789e+02 2.2501625576385930e-13
2.6441438365371459e+02 2.7375822032799719e-13
2.6457703474873284e+02 4.2427089206876735e-13
2.6482198487897108e+02 5.5700823994448649e-14
2.6600209554900363e+02 3.0520250917537016e-13
2.6690784372877681e+02 -6.5185649171904017e-14
2.6852398326571489e+02 1.4666328015606730e-14
2.6868885807160234e+02 8.5642909287815557e-13
2.7037461670193306e+02 3.6128845429756192e-14
2.7174202730428527e+02 -1.4754678404084319e-13
2.7191454747207240e+02 2.2710957182994782e-13
2.7202949924511836e+02 -8.1593691804384988e-13
2.7241352488700898e+02 1.0812736199009227e-15
2.7509402453818609e+02 -7.9028689959927995e-13
2.7608653049237716e+02 9.6228501010598980e-14
2.7670260333790139e+02 -1.1116005190707777e-13
2.7791682910646750e+02 -4.2176082248072167e-13
2.7891725039234052e+02 -1.0542820576986365e-13
2.7924871503057670e+02 -3.2910344859548872e-14
2.8025218578390684e+02 8.8730993293536307e-13
2.8337690080694983e+02 7.8086358881374156e-13
2.8374202303461925e+02 -1.1315771462826786e-13
2.8404476774381794e+02 -8.1541058623452132e-14
2.8464599409573634e+02 -3.2146792722693087e-13
2.8483538463361663e+02 -1.0431344761821043e-14
2.8504261639019444e+02 5.9834318344689790e-15
2.8617312752101941e+02 8.3903185366300609e-14
2.8725223454925140e+02 2.8288061570454512e-14
2.8801084547837479e+02 -6.3880019105327412e-14
2.8887318564780981e+02 -6.9443162580581369e-13
2.9102684498048944e+02 2.2784155366489101e-13
2.9254556846838290e+02 4.2153238996368297e-13
2.9324959806635866e+02 3.3966926322899326e-14
2.9524917551783562e+02 9.6783368888799186e-14
2.9749022173057278e+02 5.0194337271292686e-15
2.9823473041184906e+02 2.3997723921088134e-14
3.0036382596726634e+02 4.8671873210016877e-12
3.0142381111242662e+02 8.8845219115625732e-15
3.0171212288039726e+02 2.5866574666367644e-14
3.0406475712175188e+02 -7.4818607720412889e-13
