# Real Imaginary
2.0896752271943429e+05 0.0000000000000000e+00
2.0818221443885667e+05 0.0000000000000000e+00
2.0778513758057848e+05 0.0000000000000000e+00
2.0692645238474105e+05 0.0000000000000000e+00
2.0626710021767594e+05 0.0000000000000000e+00
2.0628059578542216e+05 0.0000000000000000e+00
2.0448426231058675e+05 0.0000000000000000e+00
2.0406463029462029e+05 0.0000000000000000e+00
2.0408658875953121e+05 0.0000000000000000e+00
2.0231537816116749e+05 0.0000000000000000e+00
2.0203621029451222e+05 0.0000000000000000e+00
2.0120135567324894e+05 0.0000000000000000e+00
2.0070501982626191e+05 0.0000000000000000e+00
1.9964674355768732e+05 0.0000000000000000e+00
1.9976175454536709e+05 0.0000000000000000e+00
1.9907844249568388e+05 0.0000000000000000e+00
1.9852852840447397e+05 0.0000000000000000e+00
1.9804935975135278e+05 0.0000000000000000e+00
1.9763629600094832e+05 0.0000000000000000e+00
1.9665635320211118e+05 0.0000000000000000e+00
1.9589087305528240e+05 0.0000000000000000e+00
1.9612201381334965e+05 0.0000000000000000e+00
1.9515051742852118e+05 0.0000000000000000e+00
1.9449557448779567e+05 0.0000000000000000e+00
1.9347027032716974e+05 0.0000000000000000e+00
1.9309193161468679e+05 0.0000000000000000e+00
1.9261046451848297e+05 0.0000000000000000e+00
1.9052051431494902e+05 0.0000000000000000e+00
1.9031031854415932e+05 0.0000000000000000e+00
1.8958981851042013e+05 0.0000000000000000e+00
1.8726429242918399e+05 0.0000000000000000e+00
1.8693455429179865e+05 0.0000000000000000e+00
1.8595856873395547e+05 0.0000000000000000e+00
1.8563282848061650e+05 0.0000000000000000e+00
1.8462963227626181e+05 0.0000000000000000e+00
1.8380995879117440e+05 0.0000000000000000e+00
1.8359045169137797e+05 0.0000000000000000e+00
1.8333191714261755e+05 0.0000000000000000e+00
1.8283489677859479e+05 0.0000000000000000e+00
1.8237043761852113e+05 0.0000000000000000e+00
1.8229000119997485e+05 0.0000000000000000e+00
1.8158692172854245e+05 0.0000000000000000e+00
1.8140923620600923e+05 0.0000000000000000e+00
1.8113315658978189e+05 0.0000000000000000e+00
1.8085532913569215e+05 0.0000000000000000e+00
1.7997385824104227e+05 0.0000000000000000e+00
1.7968667913263442e+05 0.0000000000000000e+00
1.7937123464657192e+05 0.0000000000000000e+00
1.7900769721617698e+05 0.0000000000000000e+00
1.7904558496001089e+05 0.0000000000000000e+00
1.7881719198778758e+05 0.0000000000000000e+00
1.7851694608732720e+05 0.0000000000000000e+00
1.7825745821377731e+05 0.0000000000000000e+00
1.7823061710978879e+05 0.0000000000000000e+00
1.7771653364919717e+05 0.0000000000000000e+00
1.7664594884078571e+05 0.0000000000000000e+00
1.7617701149692287e+05 0.0000000000000000e+00
1.7584447510145369e+05 0.0000000000000000e+00
1.7562069735989047e+05 0.0000000000000000e+00
1.7489216168122686e+05 0.0000000000000000e+00
1.7476398540354081e+05 0.0000000000000000e+00
1.7408790488629881e+05 0.0000000000000000e+00
1.7302045532162301e+05 0.0000000000000000e+00
1.7208508893379534e+05 0.0000000000000000e+00
1.7155096109663506e+05 0.0000000000000000e+00
1.7176638156509888e+05 0.0000000000000000e+00
1.6990548159900421e+05 0.0000000000000000e+00
1.6957584293594936e+05 0.0000000000000000e+00
1.6865674782668654e+05 0.0000000000000000e+00
1.6854108307284091e+05 0.0000000000000000e+00
1.6826208395917763e+05 0.0000000000000000e+00
1.6791747905925050e+05 0.0000000000000000e+00
1.6765467823796216e+05 0.0000000000000000e+00
1.6752737709710514e+05 0.0000000000000000e+00
1.6645350191497870e+05 0.0000000000000000e+00
1.6488203691076726e+05 0.0000000000000000e+00
1.6451658061600733e+05 0.0000000000000000e+00
1.6296481790054825e+05 0.0000000000000000e+00
1.6249293776470155e+05 0.0000000000000000e+00
1.6236036132434622e+05 0.0000000000000000e+00
1.6204758606437576e+05 0.0000000000000000e+00
1.6137145496244472e+05 0.0000000000000000e+00
1.6057410786272603e+05 0.0000000000000000e+00
1.6072288817880803e+05 0.0000000000000000e+00
1.6034334284653928e+05 0.0000000000000000e+00
1.5956431249665431e+05 0.0000000000000000e+00
1.5961044386774069e+05 0.0000000000000000e+00
1.5917011126245346e+05 0.0000000000000000e+00
1.5880389744132280e+05 0.0000000000000000e+00
1.5835061392382422e+05 0.0000000000000000e+00
1.5819613736081455e+05 0.0000000000000000e+00
1.5784684647703011e+05 0.0000000000000000e+00
1.5787040729801482e+05 0.0000000000000000e+00
1.5737251879539993e+05 0.0000000000000000e+00
1.5706168154633790e+05 0.0000000000000000e+00
1.5654950214078536e+05 0.0000000000000000e+00
1.5596905409396673e+05 0.0000000000000000e+00
1.5557567255016798e+05 0.0000000000000000e+00
1.5513880727122529e+05 0.0000000000000000e+00
1.5480458606370303e+05 0.0000000000000000e+00
1.5471607058640587e+05 0.0000000000000000e+00
1.5457409343922677e+05 0.0000000000000000e+00
1.5415525259389440e+05 0.0000000000000000e+00
1.5366406592383169e+05 0.0000000000000000e+00
1.5340566915229245e+05 0.0000000000000000e+00
1.5318380505348064e+05 0.0000000000000000e+00
1.5313766608172769e+05 0.0000000000000000e+00
1.5297988923867003e+05 0.0000000000000000e+00
1.5267247452539558e+05 0.0000000000000000e+00
1.5256873953160082e+05 0.0000000000000000e+00
1.5240124961112067e+05 0.0000000000000000e+00
1.5201721608873334e+05 0.0000000000000000e+00
1.5173314823894572e+05 0.0000000000000000e+00
1.5161608187030134e+05 0.0000000000000000e+00
1.5110576646807289e+05 0.0000000000000000e+00
1.5100993079967302e+05 0.0000000000000000e+00
1.5048583150755460e+05 0.0000000000000000e+00
1.5043952067730238e+05 0.0000000000000000e+00
1.5022319323033365e+05 0.0000000000000000e+00
1.5003103143087958e+05 0.0000000000000000e+00
1.4995032895410151e+05 0.0000000000000000e+00
1.4944846850125716e+05 0.0000000000000000e+00
1.4892119908144567e+05 0.0000000000000000e+00
1.4855964824185791e+05 0.0000000000000000e+00
1.4840609199964843e+05 0.0000000000000000e+00
1.4818043857767998e+05 0.0000000000000000e+00
1.4802711534199517e+05 0.0000000000000000e+00
1.4797147323671813e+05 0.0000000000000000e+00
1.4769886805850905e+05 0.0000000000000000e+00
1.4740889367721070e+05 0.0000000000000000e+00
1.4723890824095896e+05 0.0000000000000000e+00
1.4707616032773582e+05 0.0000000000000000e+00
1.4664145571521521e+05 0.0000000000000000e+00
1.4681499306140575e+05 0.0000000000000000e+00
1.4604049118623903e+05 0.0000000000000000e+00
1.4574544599435388e+05 0.0000000000000000e+00
1.4543472804698723e+05 0.0000000000000000e+00
1.4544679846531403e+05 0.0000000000000000e+00
1.4520650708134228e+05 0.0000000000000000e+00
1.4508319185213698e+05 0.0000000000000000e+00
1.4468979552058829e+05 0.0000000000000000e+00
1.4440933365877290e+05 0.0000000000000000e+00
1.4452074333868080e+05 0.0000000000000000e+00
1.4405072073530836e+05 0.0000000000000000e+00
1.4376052208096287e+05 0.0000000000000000e+00
1.4320394637097797e+05 0.0000000000000000e+00
1.4277180109387729e+05 0.0000000000000000e+00
1.4280636872646422e+05 0.0000000000000000e+00
1.4213812001560119e+05 0.0000000000000000e+00
